sp;eng
Okay, I will help you!;Okay, I will help you!
Get me something to disguise myself as you and I will take the exam;Get me something to disguise myself as you and I will take the exam
Yes, I help you;Yes, I help you
Get me something to disguise myself as you and I will take the exam;Get me something to disguise myself as you and I will take the exam
You know...;You know...
Get something for the hair;Get something for the hair
Get a t-shirt like yours;Get a t-shirt like yours
a t-shirt like yours;a t-shirt like yours
Get some pants similar to yours;Get some pants similar to yours
and some pants similar to yours;and some pants similar to yours
And with that we'll have it ready;And with that we'll have it ready
It is the door leading to the corridor;It is the door leading to the corridor
This window to the outside prevents people from fraudulently using computers;This window to the outside prevents people from fraudulently using computers
The institute's computers are still 486;The institute's computers are still 486
I have no time for games;I have no time for games
I have to pass the remaining subjects to get the money;I have to pass the remaining subjects to get the money
In addition, that computer has the Barrotes virus;In addition, that computer has the Barrotes virus
A Q-Basic manual for MS-DOS;A Q-Basic manual for MS-DOS
Learn to program from the game Gorillas to Snake;Learn to program from the game Gorillas to Snake
No, I don't need it.;No, I don't need it.
I've already started programming in C;I've already started programming in C
Looks like he is playing some kind of strategy game;Looks like he is playing some kind of strategy game
I can't use it;I can't use it
The nerd is playing;The nerd is playing
He's supposedly disguised as me;He's supposedly disguised as me
This kid is the high school weirdo;This kid is the high school weirdo
I think this is going to be material for my nightmares;I think this is going to be material for my nightmares
He is always involved in his world of books and role-playing games;He is always involved in his world of books and role-playing games
Doesn't seem to have many friends;Doesn't seem to have many friends
It's been helpful enough for me;It's been helpful enough for me
And what do I do with that?;And what do I do with that?
It could serve as hair, but the color is very light;It could serve as hair, but the color is very light
Why are you giving me this?;Why are you giving me this?
Perfect! We'll use this for the costume;Perfect! We'll use this for the costume
Why are you giving me this?;Why are you giving me this?
All right! This will serve for the costume;All right! This will serve for the costume
Why are you giving me this?;Why are you giving me this?
Oh yeah! This will do us good for the costume;Oh yeah! This will do us good for the costume
Don't bother me;Don't bother me
Hmm. Looks a little like your t-shirt but not enough;Hmm. Looks a little like your t-shirt but not enough
Don't interrupt me. I'm playing;Don't interrupt me. I'm playing
I don't want that ;I don't want that 
You are deconcentrating me;You are deconcentrating me
Don't give me your junk;Don't give me your junk
Leave me alone. I'm focused on the game;Leave me alone. I'm focused on the game
Wow! If there is also a 386!;Wow! If there is also a 386!
Long live public education!;Long live public education!
Mmmm... no. ;Mmmm... no. 
After having a Pentium at home, a 386 feels like a turtle;After having a Pentium at home, a 386 feels like a turtle
Hopefully in the future make computer chairs more fashionable and that they serve for long gaming sessions;Hopefully in the future make computer chairs more fashionable and that they serve for long gaming sessions
I already have everything I need.;I already have everything I need.
I'm going to prepare the costume and take your exam;I'm going to prepare the costume and take your exam
Piece of cake!;Piece of cake!
Disguised like you, no one has noticed;Disguised like you, no one has noticed
Who would say;Who would say
You have approved the subject!;You have approved the subject!
Umm... ;Umm... 
Thank you;Thank you
Great! I've already passed everything!;Great! I've already passed everything!
I'm almost out of here before this gets weird!;I'm almost out of here before this gets weird!
Come on!;Come on!
Die damned!;Die damned!
I hate all my enemies;I hate all my enemies
I hate you as much as I hate my classmates;I hate you as much as I hate my classmates
And I hate teachers...;And I hate teachers...
And I hate that girl who called me weird;And I hate that girl who called me weird
One day I'm going to take a rifle to school and I'm going to...;One day I'm going to take a rifle to school and I'm going to...
But most of all I hate Windows;But most of all I hate Windows
