sp;eng
Change game state from %i to %i\n;Change game state from %i to %i\n
Object %i Position x: %i Position y: %i\n;Object %i Position x: %i Position y: %i\n
\n;\n
%s;%s
%s;%s
%s;%s
%s;%s
%s;%s
\n;\n
savegame.00%i;savegame.00%i
rb;rb
\0;\0
\0;\0
no read;No read
\0;\0
error version;error version
\0;\0
savegame.00%i;savegame.00%i
wb;wb
No se puede crear el archivo de guardado;Unable to create save file
Error escribiendo el archivo de guardado;Error writing save file
Saved game on slot %i with date: %s\n;Saved game on slot %i with date: %s\n
savegame.00%i;savegame.00%i
rb;rb
No se puede abrir el archivo de guardado;Unable to open save file
Error leyendo el archivo de guardado;Error reading save file
Version de archivo de guardado incompatible;Incompatible save file version
Loaded game from slot %i with date: %s\n;Loaded game from slot %i with date: %s\n
Game saved play time: %02dh %02dm\n;Game saved play time: %02dh %02dm\n
Change from room %i to room %i\n;Change from room %i to room %i\n
Exiting game\n;Exiting game\n
Quit allegro modules\n;Quit allegro modules\n
Game played for: %02dh %02dm\n;Game played for: %02dh %02dm\n
Color hud;Color hud
Color menu;Menu color
Color room;Color room
Color dialog;Color dialog
%s: %i;%s (%i)
%s %s con %s;%s %s with %s
%s %s a %s;%s %s to %s %s
%s %s;%s %s
\n;\n
\n;\n
R%02dDATA.DAT;R%02dDATA.DAT
Load room datafile: %s\n;Load room datafile: %s\n
Archivo %s invalido o inexistente;Invalid or non-existent %s file
    Script step from %i to %i\n;Script step from %i to %i\n
Free actual room datafile resources\n;Free actual room datafile resources\n
Error loading hotspot room image\n;Error loading hotspot room image\n
Error accediendo a indice de objecto no existente;Error accessing non-existent object index
Destroy GUI system\n;Destroy GUI system\n
Destroy GUI system\n;Destroy GUI system\n
%i.%s;I S
%i.%s;I S
%i.%s;I S
%i.%s;I S
Out Of Cash\n(Sin Blanca)\n \nProgramado por Warrior\n \nWarcom Soft.2025;Out Of Cash\n\n \nScheduled by Warrior\n \nWarcom Soft.2025
v%i.%i;VII.
%s;%s
%s;%s
SFX voice %i allocated to soundcard voice %i\n;SFX voice %i allocated to soundcard voice %i\n
SFX system initialized\n;SFX system initialized\n
Destroy SFX system\n;Destroy SFX system\n
SFX system destroyed\n;SFX system destroyed\n
Original freq: %iHz | ;Original Freq: %iHz |
Variation: -%i%% | ;Variation: -%i%% |
Variation: +%i%% | ;Variation: +%i%% |
New freq: %iHz\n;New Freq: %iHz\n
Load music data file object\n;Load music data file object\n
Play midi music\n;Play midi music\n
Stopping midi\n;Stopping midi\n
Un juego de:;A game by
Warrior;Warrior
Programaci¢n;Programming
Warrior;Warrior
Gr ficos;GRICOS
Warrior;Warrior
M£sica;M
Warrior;Warrior
Sonido;Sound 
Warrior;Warrior
Productor ejecutivo;Executive producer
Emm... Warrior;Emm... Warrior
Productor asociado;Associate Producer
Umm ¨Warrior?;Umm ¨Warrior?
Marketing;Marketing
­Ah si! Warrior;-Ah yes! Warrior
Contabilidad;Accounting
Calculadora Casio;CASIO calculator
Control de calidad;Quality control
Control de...¨qu?;Control of...¨what?
Agradecimientos especiales;Special thanks
Cris Cros\nProfesor P¡xel\nJota\nLuqquino;Cris Cros\nProfessor P¡xel\nJota\nLuqquino
GRACIAS POR JUGAR;Thanks for playing!
