sp;eng
No hay nada de inters dentro;There is nothing of interest inside
¨Cuantos chavales pueden permitirse tener un sofa en su habitaci¢n?;How many kids can afford to have a couch in their room?
No tengo tiempo para descansar;I don't have time to rest
He de averiguar como conseguir dinero para la entrada del concierto;I have to figure out how to get money for the concert ticket
Mi flamante Pentium a 100Mhz;My brand new 100Mhz Pentium
Le he instalado hace poco Windows 95;I recently installed Windows 95
Pero sigo prefiriendo mi viejo MS-DOS;But I still prefer my old MS-DOS
Odio windows...;I hate Windows...
Son mis figuras de los Caballeros del Zod¡aco edici¢n limitada;They are my figures of the Knights of the Zodiac Limited Edition
Mira como brillan esos cromados...;Look how those chromes shine...
Prefiero dejarlos aqu¡;I'd rather leave them here!
Van a ser mi jubilaci¢n;It's going to be my retirement
Es el cartucho de tinta de la impresora;It´s the ink cartridge of the printer
Pero est  vac¡o;But it´s empty
Mi impresora de inyecci¢n;My injection printer
Solo tiene cartucho de tinta negra;It only has a black ink cartridge
Con la tapa abierta veo el cartucho de tinta;With the lid open I see the ink cartridge
Pero no le queda tinta;But it has no ink left
No le queda tinta;No ink left
Adem s tengo unos problemas con los controladores de Windows 95 y no me funciona;Also I have some problems with the Windows 95 drivers and it doesn't work
Aunque le ponga tinta a esa impresora no funciona bien;Even if I put ink on that printer, it doesn't work well
¨Que quieres que me lleve la impresora entera?;What do you want? To take the entire printer with me?
Ya est  abierta;Already open
Ya est  cerrada;Already closed
"\""La edad prohibida\""";"\""The Forbidden Age\"""
de Torcuato Luca de Tena;by Torcuato Luca de Tena
Ya tuve bastante con leerlo en el colegio;I had enough of reading it at school
"\""MSDOS para Dummies\""";"\""MSDOS for Dummies\"""
por Dan Gookin;by Dan Gookin
No lo necesito;Not needed
Yo no soy dummy de MS-DOS;I am not MS-DOS dummy
"\""Del deporte tambin se sale\""";"\""You also get out of the sport\"""
por Diego Maradona;by DIEGO MARADONA
Es un cat logo musical de la tienda Tipo;It is a musical store magazine
Pero ya no tengo dinero para comprarme ning£n disco;But I no longer have money to buy any records
Sin dinero para comprar, no tiene mucho inters;With no money to buy, not much interest
La ventana que da a mi callej¢n;The window overlooking my alley
Otra vez los perros del callej¢n haciendo ruido;Again the alley dogs making noise
Menos mal que no me dedico a grabar podcasts;Good thing I don't record podcasts
Mejor la dejo cerrada;I better leave it closed
Aunque no grabe podcasts aprecio el silencio;Even if I don't record podcasts, I appreciate the silence
¨Y como consigo el dinero para el concierto?;And how do I get the money for the concert?
Tengo que averiguarlo...;Have to find out...
