sp;eng
Una camiseta con una estrella negra impresa en medio;A t-shirt with a black star printed in the middle
Ahora si que es clavadita a la m¡a;Now it is nailed to mine
Son los copos de avena mezclados con el gel de ducha;It's the oat flakes mixed with the shower gel
Han formado una masa viscosa grumosa;They have formed a lumpy viscous mass
No querr¡a tocar esta masa con las manos;You don't want to touch this dough with your hands
Necesitar¡a algo con lo que aplicarlo;Need something to apply it to
Ahora tengo un bonito cerebro pintado de negro;Now I have a nice brain painted black
El reloj con forma de estrella ahora est  cubierto de pintura negra;The star-shaped clock is now covered in black paint
Y la pintura a£n mancha...;And the paint stains yet...
He podido abrir el cartucho y est  lleno de tinta negra;I was able to open the cartridge and it is full of black ink
El reloj cubierto de tinta ha dejado una mancha en la camiseta en forma de estrella;The ink-covered clock has left a star-shaped stain on the t-shirt
Los copos de avena mezclados con el gel han formado una masa viscosa y grumosa;The oat flakes mixed with the gel have formed a viscous lumpy mass
He metido las hojas del libro de deporte en la carpeta;I have put the sheets of the sports book in the folder
La idea de pringarme con avena no es mala pero, ¨cual es el motivo de hacerlo?;The idea of stuffing myself with oats is not bad but, what is the reason for doing it?
Si me pongo esta masa grumosa en el cuerpo quiz s pueda simular una enfermedad;If I put this lumpy mass on my body, maybe I can simulate a disease
Pero no deber¡a hacer esto aqu¡;But I shouldn't do this here
­POR FIN!;AT LAST!
­YA TENGO EL DINERO PARA LA ENTRADA!;I ALREADY HAVE THE MONEY FOR THE TICKET!
El cartucho no tiene tinta para pintarlo;Cartridge has no ink to paint it
He podido abrir el cartucho pero no tiene tinta;I was able to open the cartridge but it has no ink
No creo que me sirva de mucho;I don't think it helps me much
